"","facility_id","facility_type","permit_number","receipt_number","well_depth","matrix","sample_id","sample_date","benzene_ugl","toluene_ugl","ethylbenzene_ugl","mp_xylenes_ugl","o_xylene_ugl","tot_xylenes_ugl","methane_mgl","wattenberg"
"605",752812,"Domestic Well","247419","0503791",580,"WATER",534766,2013-09-05,NA,NA,NA,NA,NA,NA,6.9,TRUE
"606",752813,"Domestic Well","231884","0471933",560,"WATER",534760,2013-09-05,NA,NA,NA,NA,NA,NA,7.8,TRUE
"607",752814,"Commercial","286725","3651930",NA,"WATER",534764,2013-09-05,NA,NA,NA,NA,NA,NA,0.012,TRUE
"608",752818,"Domestic Well","267311","0547559",NA,"WATER",535338,2013-07-23,NA,NA,NA,NA,NA,NA,0.00734,TRUE
"609",752818,"Domestic Well","267311","0547559",NA,"WATER",535893,2013-12-18,NA,NA,NA,NA,NA,NA,4e-04,TRUE
"610",752820,"Domestic Well","51089","9064694",92,"WATER",535345,2013-07-23,NA,NA,NA,NA,NA,NA,4e-04,TRUE
"611",752820,"Domestic Well","51089","9064694",92,"WATER",537474,2014-04-15,NA,NA,NA,NA,NA,NA,0.038,TRUE
"612",752821,"Domestic Well","50887","9064683",650,"WATER",534749,2013-09-10,NA,NA,NA,NA,NA,NA,3.9,TRUE
"613",752821,"Domestic Well","50887","9064683",650,"WATER",542991,2015-02-18,NA,NA,NA,NA,NA,NA,3.69,TRUE
"614",752835,"Ground Water",NA,NA,NA,"WATER",535354,2013-07-02,NA,NA,NA,NA,NA,NA,0.55,TRUE
"615",752835,"Ground Water",NA,NA,NA,"WATER",535889,2013-12-18,NA,NA,NA,NA,NA,NA,1.01,TRUE
"616",752842,"Ground Water","10978","0528595",71,"WATER",534489,2013-08-12,NA,NA,NA,NA,NA,NA,4e-04,TRUE
"617",752842,"Ground Water","10978","0528595",71,"WATER",545469,2015-09-08,NA,NA,NA,NA,NA,NA,4e-04,TRUE
"618",752843,"Ground Water","139559","9066523",65,"WATER",534491,2013-08-21,NA,NA,NA,NA,NA,NA,0.00051,TRUE
"619",752844,"Ground Water","246095","0502045B",490,"WATER",534493,2013-07-31,NA,NA,NA,NA,NA,NA,0.00088,TRUE
"620",752844,"Ground Water","246095","0502045B",490,"WATER",538827,2014-08-26,NA,NA,NA,NA,NA,NA,4e-04,TRUE
"621",752844,"Ground Water","246095","0502045B",490,"WATER",542540,2015-04-08,NA,NA,NA,NA,NA,NA,0.00073,TRUE
"622",752844,"Ground Water","246095","0502045B",490,"WATER",549515,2016-04-07,NA,NA,NA,NA,NA,NA,4e-04,TRUE
